6-0,f,xopt_runtime,xopt_error
1.1497925550706132,0.912679181973132,2.365389899990987,False
-3.0,-0.1411200080598672,2.489739999989979,False
-1.6896247326126421,-0.9929482085665502,2.588831899978686,False
-0.9693218891692572,-0.8245021879777704,2.6243797999923117,False
-1.5867286603010524,-0.9998730830592668,2.625538599968422,False
-1.5152073434882287,-0.9984553302987651,2.6451389999710955,False
-1.536320478650181,-0.9994057668088598,2.644701700017322,False
-1.541178092510779,-0.9995614121625775,2.644308799994178,False
-1.5437761310677038,-0.9996349767205931,2.647678600042127,False
-1.545668633375593,-0.9996843161224962,2.658799800032284,False
-1.5473542630062431,-0.9997252474050843,2.661040899984073,False
